objectid,City,Station ID,Station Name,Number of Docks,Installed,On/Off-Street,EPC Status,Transit Status,Latitude,Longitude,x,y
348,San Francisco,SF-J10,Funston Ave at Fulton St,27,2019-11-21,On-Street,0,1,37.773587,-122.471357,-122.471357,37.7735870000001
349,San Francisco,SF-G10-1,Funston Ave at Clement St,27,2019-11-14,On-Street,0,1,37.78244164,-122.4719874,-122.4719874,37.7824416400001
350,San Francisco,SF-E28-2,Front St at California St,32,2020-07-23,On-Street,1,1,37.793177,-122.398823,-122.398823,37.7931770000001
351,San Francisco,SF-Y14,Frida Kahlo Way at Cloud Cir,23,2019-12-18,On-Street,0,1,37.72588979,-122.4524438,-122.4524438,37.7258897900001
352,San Francisco,SF-M13,Frederick St at Arguello Blvd,19,2019-12-12,On-Street,0,1,37.76578299,-122.4576366,-122.4576366,37.76578299
353,San Francisco,SF-N25,Franklin Square,19,2017-08-04,On-Street,0,1,37.764555,-122.410345,-122.410345,37.764555
354,San Francisco,SF-A24-2,Francisco St at Columbus Ave,27,2023-03-09,On-Street,1,1,37.80445378,-122.4157938,-122.4157938,37.8044537800001
355,San Francisco,SF-Z6,Font Blvd at Arballo Dr,30,2020-09-17,On-Street,1,1,37.722001,-122.482735,-122.482735,37.722001
356,San Francisco,SF-F30-3,Folsom St at Main St,28,2022-08-31,On-Street,0,1,37.788991,-122.3922551,-122.3922551,37.7889910000001
357,San Francisco,SF-O24,Folsom St at 19th St,19,2017-07-31,On-Street,0,1,37.7605936,-122.4148171,-122.4148171,37.7605936
358,San Francisco,SF-M24,Folsom St at 15th St,19,2018-07-17,On-Street,0,1,37.7670373,-122.4154425,-122.4154425,37.7670373
359,San Francisco,SF-L24,Folsom St at 13th St,27,2018-06-14,On-Street,0,1,37.769757,-122.415674,-122.415674,37.769757
360,San Francisco,SF-K25,Folsom St at 9th St,27,2017-09-28,On-Street,1,1,37.7737172,-122.4116467,-122.4116467,37.7737172000001
361,San Francisco,SF-J26-2,Folsom St at 7th St,19,2017-11-27,On-Street,1,1,37.77666378,-122.4079084,-122.4079084,37.77666378
362,San Francisco,SF-I27,Folsom St at 5th St,31,2017-06-16,On-Street,1,1,37.78064509,-122.4028659,-122.4028659,37.7806450900001
363,San Francisco,SF-H28,Folsom St at 3rd St,35,2018-06-21,On-Street,0,1,37.78383,-122.39887,-122.39887,37.7838300000001
364,San Francisco,SF-A19,Fillmore St at Jefferson St,27,2020-10-16,On-Street,0,1,37.805376,-122.437261,-122.437261,37.805376
365,San Francisco,SF-K15-,Fell St at Stanyan St,19,2018-11-08,On-Street,0,1,37.7719511,-122.4537048,-122.4537048,37.7719511
366,San Francisco,SF-K15-2,Fell St at Clayton St,27,2024-01-24,On-Street,0,1,37.77256103,-122.4489073,-122.4489073,37.7725610300001
367,San Francisco,SF-H25,Father Alfred E Boeddeker Park,23,2017-07-17,On-Street,1,1,37.7839879,-122.412408,-122.412408,37.7839879000001
368,San Francisco,SF-U30,Evans Ave at Newhall St,19,2020-02-07,On-Street,0,1,37.74207524,-122.3866023,-122.3866023,37.7420752400001
369,San Francisco,SF-V31,Evans Ave at Mendell St,15,2019-10-03,On-Street,0,1,37.74017754,-122.3837364,-122.3837364,37.74017754
370,San Francisco,SF-O18,Eureka Valley Recreation Center,19,2017-10-27,On-Street,0,1,37.7591769,-122.4369431,-122.4369431,37.7591769000001
371,San Francisco,SF-W8,Eucalyptus Dr at 20th Ave,27,2020-09-24,On-Street,1,1,37.731085,-122.476163,-122.476163,37.7310850000001
372,San Francisco,SF-O30,Esprit Park,31,2017-08-08,On-Street,0,1,37.7616343,-122.3906477,-122.3906477,37.7616343
373,San Francisco,SF-E29-3,Embarcadero BART Station (Beale St at Market St),29,2017-06-22,On-Street,0,1,37.792251,-122.397086,-122.397086,37.7922510000001
374,San Francisco,SF-H19,Ellis St at Pierce St,27,2019-10-04,On-Street,1,1,37.78198169,-122.4357699,-122.4357699,37.7819816900001
375,San Francisco,SF-AA28,Egbert Ave at Jennings St,19,2019-11-21,On-Street,1,1,37.7225456,-122.3928173,-122.3928173,37.7225456
376,San Francisco,SF-L19,Duboce Park,19,2017-07-12,On-Street,0,1,37.7692005,-122.4338119,-122.4338119,37.7692005000001
377,San Francisco,SF-Q21-1,Dolores St at 22nd St,15,2019-01-15,On-Street,0,1,37.75488392,-122.4256487,-122.4256487,37.7548839200001
378,San Francisco,SF-M21,Dolores St at 15th St,19,2017-07-21,On-Street,0,1,37.7662102,-122.4266136,-122.4266136,37.7662102
379,San Francisco,SF-L26,Division St at Potrero Ave,27,2017-08-15,On-Street,0,1,37.76921786,-122.4076456,-122.4076456,37.76921786
380,San Francisco,SF-C18,Divisadero St at Lombard St,22,2022-04-27,On-Street,0,1,37.79923418,-122.4427812,-122.4427812,37.79923418
381,San Francisco,SF-E18,Divisadero St at Clay St,19,2020-02-27,On-Street,0,1,37.789688,-122.440688,-122.440688,37.7896880000001
382,San Francisco,SF-X16,Detroit St at Hearst St,19,2022-04-28,On-Street,0,1,37.73065543,-122.4443048,-122.4443048,37.7306554300001
383,San Francisco,SF-Z16,Delano Ave at Oneida Ave,24,2020-07-22,Off-Street,0,1,37.7223823,-122.4438098,-122.4438098,37.7223823
384,San Francisco,SF-H30-2,Delancey St at Brannan St,27,2023-04-12,On-Street,0,1,37.78384422,-122.3900021,-122.3900021,37.78384422
385,San Francisco,SF-D28,Davis St at Jackson St,35,2017-06-13,On-Street,0,1,37.79728,-122.398436,-122.398436,37.7972800000001
386,San Francisco,SF-G26,Cyril Magnin St at Ellis St,35,2017-06-16,On-Street,1,1,37.78588063,-122.408915,-122.408915,37.7858806300001
387,San Francisco,SF-B28,Cruise Terminal at Pier 27,23,2019-09-12,Off-Street,0,1,37.804648,-122.402087,-122.402087,37.804648
388,San Francisco,SF-CC18,Crocker-Amazon Playground,23,2023-09-12,On-Street,0,1,37.713185,-122.433405,-122.433405,37.7131850000001
389,San Francisco,SF-E27,Commercial St at Montgomery St,23,2017-06-26,On-Street,1,1,37.794231,-122.402923,-122.402923,37.794231
